"","qno","t1.mu","t1.p","t2.mu","t2.p","t2t1.mu","t2t1.p","n"
"1","2a",0.73,0,0.735,0,0.003,0.897,113
"2","2a",0.746,0,0.751,0,0.005,0.91,39
"3","2a",0.722,0,0.727,0,0.005,0.875,74
"4","2a",0.025,0.675,0.024,0.68,0,0.996,113
"5","13a",0.574,0.017,0.642,0,0.073,0.048,104
"6","13a",0.627,0.016,0.67,0.001,0.043,0.437,37
"7","13a",0.545,0.247,0.627,0.004,0.082,0.101,67
"8","13a",0.082,0.196,0.043,0.487,0.039,0.601,104
"9","17a",0.717,0,0.737,0,0.019,0.473,116
"10","17a",0.762,0,0.797,0,0.035,0.36,40
"11","17a",0.693,0,0.705,0,0.012,0.751,76
"12","17a",0.069,0.181,0.092,0.073,-0.023,0.663,116
"13","20a",0.793,0,0.791,0,-0.002,0.933,116
"14","20a",0.825,0,0.787,0,-0.038,0.467,40
"15","20a",0.776,0,0.793,0,0.016,0.567,76
"16","20a",0.049,0.263,-0.005,0.921,0.054,0.36,116
